currentDifficulty,currentPlayerLives,id,levelsBeat,newDifficulty,playerLifeTimer,totalEnemiesKilled,totalPoints
2,0,0EbSXFZTryuq8oIfT5XD,2,2,29.49609,4,500
2,3,0MHiDsJMOXccolv2iGBX,2,2,20.07168,3,500
1,3,0fNyt4XAYVfxmrqhzHiS,2,1,21.08881,3,300
9,0,166Ds8AdrIlJM4pJwq2l,2,10,12.8868,0,0
1,2,1FQeoJPdbjvdXsvMIHHX,3,1,29.91,4,400
8,0,1M8H1HN3KR5sa6xHf2oK,2,9,42.11679,0,0
5,0,1QqBc8WsYSQZOwO8dgNd,4,5,21.99497,14,10100
10,2,1k2MXgkLVRdi4TGNZ3VS,10,10,121.4383,11,2717600
1,0,1o9i5GfxRpe8pK0Gcf1l,5,1,17.9809,1,75
2,1,1q8cyy8Csa2Tlf0zODsB,2,3,25.34831,3,500
1,0,1xEifd6yexkAbaF5ah5t,1,1,29.38904,1,100
7,0,1zAvLOI6HOd6HkxoGcm2,6,7,40.8537,19,28500
1,3,26i7oWesk21omJVW3yHk,1,1,14.50931,1,100
5,0,2GnnDYwbPwH36XlV0jLr,4,4,21.33659,14,10100
1,3,2RRs8yl65SsdWf7kIhrt,1,2,14.00569,1,100
1,1,2TFnR3Z60R4Jp9vwnM4C,1,1,8.928397,1,100
6,0,2dawN7dcehSv3krb3QJ1,2,6,5.986696,0,0
6,1,2hSVlBUi1SHsYU6hbeKo,6,7,66.70409,17,17300
9,3,2l0FmiBahXY1rA5jpazl,9,9,46.60442,2,76800
5,1,326OQZy3XRanwNwzoqgN,7,6,31.86997,17,8600
8,0,394bPJ23lop35ZeX96KQ,7,8,25.91702,5,28800
10,0,3BOeqJxbIpU1NHUYjj6e,9,9,25.58712,2,76800
6,0,3PI6OGEQd6xD45UFAiD0,5,7,16.66937,15,11700
4,3,3QuIRugW5bxRVME7Qlyf,4,5,16.85378,11,5300
2,0,3RoBFKmH9rmo0kvegnD4,2,2,34.25225,3,500
5,0,3Zjz6ANVc9GrP3HYbVxE,2,5,10.2333,0,0
5,0,3dzJZBz5AZ0hyxLf820k,4,5,14.21937,14,10100
2,3,3e6NGJx9NRGWzra2etlE,2,3,15.73686,3,500
